lab_num;t_x;t_y;p_x;p_y;itens_obrig;itens_proib
1;5.585848804875655;3.336246417762548;7.6183047260487475;3.3174964177625483;7;0,1
2;5.342875267176331;4.840406354287133;7.65425827613324;4.778687604287133;3,6;1
3;5.352758650586129;-6.986145446077124;7.5967323825807584;-6.9173954460771245;3,6;1
4;5.927592454611126;-8.605836903917469;7.751254735647503;-8.876930653917471;3;5,1
5;5.638372236547345;-19.019323633565712;8.669458881673688;-18.799011133565713;6;0
6;5.780393899185668;-21.284498212065124;8.662983892662536;-20.28293571206512;3,6;5
7;-3.5779335915298622;-19.356667067729227;-5.926857560798662;-19.001979567729226;7,6;0
8;-3.2993155611155305;-21.18267485256617;-5.954192293941762;-20.81392485256617;7,3;0
9;-3.5843121099792903;-8.16090634432146;-6.904280400308268;-9.18090634432146;7,3,6;0,1
10;-3.092991010619555;-6.742093622690492;-6.42931854201709;-8.002718622690491;3,6;0
11;-3.71422889264917;2.4816284378959;-6.561020379389283;2.4777221878959;7;5,1
12;-3.692907537227223;4.263984738795651;-6.7086306083255507;3.998359738795651;7,3,6;0,1,5
