notebook,binary_roc,binary_auc,absolute_colab_path,hard_coded_threshold,three_sequence_logic
LoopClosure/CNN/CNN_vgg16.ipynb,0,0,2,0,0
LoopClosure/KITTI/Group5/KITTI_05_alexnet.ipynb,1,1,4,0,1
LoopClosure/KITTI/Group5/KITTI_05_convnext.ipynb,1,1,4,0,1
LoopClosure/KITTI/Group5/KITTI_05_resnet.ipynb,1,1,4,0,1
LoopClosure/KITTI/Group5/KITTI_05_vgg16_adaptada_treinada.ipynb,1,1,5,0,1
LoopClosure/KITTI/Group5/KITTI_05_vgg16_original.ipynb,1,1,4,0,1
LoopClosure/KITTI/Group5/KITTI_05_visiontransformer.ipynb,1,1,4,0,1
LoopClosure/KITTI/Group8/KITTI_08_alexnet.ipynb,1,1,4,0,2
LoopClosure/KITTI/Group8/KITTI_08_convnext.ipynb,1,1,4,0,1
LoopClosure/KITTI/Group8/KITTI_08_resnet.ipynb,1,1,4,0,2
LoopClosure/KITTI/Group8/KITTI_08_vgg16_adaptada_treinada.ipynb,1,1,5,0,1
LoopClosure/KITTI/Group8/KITTI_08_vgg16_original.ipynb,1,1,4,0,1
LoopClosure/KITTI/Group8/KITTI_08_visiontransformer.ipynb,1,1,4,0,1
LoopClosure/System/Grafico3D.ipynb,0,0,2,0,0
LoopClosure/System/LoopClosureGazeboOffice_256.ipynb,1,1,9,0,1
LoopClosure/TUM/TUM_alexnet.ipynb,1,1,4,0,1
LoopClosure/TUM/TUM_convnext.ipynb,0,0,4,0,1
LoopClosure/TUM/TUM_resnet.ipynb,1,1,4,0,1
LoopClosure/TUM/TUM_vgg16_adaptada_treinada.ipynb,1,1,5,0,1
LoopClosure/TUM/TUM_vgg16_original.ipynb,1,1,4,0,1
LoopClosure/TUM/TUM_visiontransformer.ipynb,1,1,4,0,1
