dataset,sequence,camera,frame_id,image_path,timestamp_seconds,x,y,z
KITTI_odometry,05,image_0,000000,sequences/05/image_0/000000.png,0.0,1.110223e-16,0.0,2.220446e-16
KITTI_odometry,05,image_0,000001,sequences/05/image_0/000001.png,0.1042283,0.003499723,-0.009789328,0.5653511
KITTI_odometry,05,image_0,000002,sequences/05/image_0/000002.png,0.2084765,0.001173954,-0.02241474,1.127607
KITTI_odometry,05,image_0,000003,sequences/05/image_0/000003.png,0.3127291,-0.007831705,-0.04141091,1.689225
KITTI_odometry,05,image_0,000004,sequences/05/image_0/000004.png,0.4169786,-0.01508128,-0.0592272,2.251296
KITTI_odometry,05,image_0,000005,sequences/05/image_0/000005.png,0.5212271,-0.02040073,-0.07423248,2.816072
KITTI_odometry,05,image_0,000006,sequences/05/image_0/000006.png,0.6254761,-0.02969353,-0.09078265,3.390281
KITTI_odometry,05,image_0,000007,sequences/05/image_0/000007.png,0.729727,-0.04152744,-0.1098544,3.969489
KITTI_odometry,05,image_0,000008,sequences/05/image_0/000008.png,0.833976,-0.05593704,-0.1348021,4.556204
KITTI_odometry,05,image_0,000009,sequences/05/image_0/000009.png,0.9383588,-0.07008098,-0.1575514,5.150463
KITTI_odometry,05,image_0,000010,sequences/05/image_0/000010.png,1.042605,-0.08798198,-0.1803479,5.751285
KITTI_odometry,05,image_0,000011,sequences/05/image_0/000011.png,1.146853,-0.1054713,-0.1996581,6.363942
KITTI_odometry,05,image_0,000012,sequences/05/image_0/000012.png,1.251125,-0.1238576,-0.2187844,6.989627
KITTI_odometry,05,image_0,000013,sequences/05/image_0/000013.png,1.355354,-0.1444743,-0.2366165,7.637602
KITTI_odometry,05,image_0,000014,sequences/05/image_0/000014.png,1.459603,-0.1645124,-0.2542635,8.302111
KITTI_odometry,05,image_0,000015,sequences/05/image_0/000015.png,1.563854,-0.1844755,-0.2738044,8.978383
KITTI_odometry,05,image_0,000016,sequences/05/image_0/000016.png,1.668106,-0.2077191,-0.2924369,9.661917
KITTI_odometry,05,image_0,000017,sequences/05/image_0/000017.png,1.772352,-0.2329992,-0.3035717,10.35368
KITTI_odometry,05,image_0,000018,sequences/05/image_0/000018.png,1.876603,-0.253794,-0.3091782,11.06423
KITTI_odometry,05,image_0,000019,sequences/05/image_0/000019.png,1.980855,-0.270128,-0.3152238,11.79839
KITTI_odometry,05,image_0,000020,sequences/05/image_0/000020.png,2.085105,-0.2821162,-0.3207015,12.5587
KITTI_odometry,05,image_0,000021,sequences/05/image_0/000021.png,2.189354,-0.2962122,-0.3252216,13.3352
KITTI_odometry,05,image_0,000022,sequences/05/image_0/000022.png,2.293607,-0.3128296,-0.3292075,14.12399
KITTI_odometry,05,image_0,000023,sequences/05/image_0/000023.png,2.397855,-0.3270868,-0.3300205,14.92763
KITTI_odometry,05,image_0,000024,sequences/05/image_0/000024.png,2.502107,-0.3451203,-0.32986,15.74882
KITTI_odometry,05,image_0,000025,sequences/05/image_0/000025.png,2.606377,-0.3585571,-0.3310784,16.58175
KITTI_odometry,05,image_0,000026,sequences/05/image_0/000026.png,2.710606,-0.3661096,-0.3374209,17.4281
KITTI_odometry,05,image_0,000027,sequences/05/image_0/000027.png,2.814856,-0.3686442,-0.3506532,18.28806
KITTI_odometry,05,image_0,000028,sequences/05/image_0/000028.png,2.919104,-0.3812873,-0.3643232,19.16967
KITTI_odometry,05,image_0,000029,sequences/05/image_0/000029.png,3.023358,-0.3931436,-0.383628,20.0706
KITTI_odometry,05,image_0,000030,sequences/05/image_0/000030.png,3.127481,-0.4065575,-0.4078809,20.99062
KITTI_odometry,05,image_0,000031,sequences/05/image_0/000031.png,3.231728,-0.419658,-0.4350658,21.92489
KITTI_odometry,05,image_0,000032,sequences/05/image_0/000032.png,3.335979,-0.4375606,-0.463143,22.87774
KITTI_odometry,05,image_0,000033,sequences/05/image_0/000033.png,3.440232,-0.4507315,-0.4913797,23.84921
KITTI_odometry,05,image_0,000034,sequences/05/image_0/000034.png,3.544357,-0.46864,-0.5208191,24.82497
KITTI_odometry,05,image_0,000035,sequences/05/image_0/000035.png,3.648605,-0.4870736,-0.5504866,25.80752
KITTI_odometry,05,image_0,000036,sequences/05/image_0/000036.png,3.752729,-0.5055765,-0.5806979,26.79489
KITTI_odometry,05,image_0,000037,sequences/05/image_0/000037.png,3.856982,-0.5258752,-0.6123111,27.7959
KITTI_odometry,05,image_0,000038,sequences/05/image_0/000038.png,3.961233,-0.5464848,-0.6430976,28.8031
KITTI_odometry,05,image_0,000039,sequences/05/image_0/000039.png,4.065354,-0.5679163,-0.673845,29.8173
KITTI_odometry,05,image_0,000040,sequences/05/image_0/000040.png,4.169606,-0.5884758,-0.7048065,30.8382
KITTI_odometry,05,image_0,000041,sequences/05/image_0/000041.png,4.273854,-0.6113853,-0.7344817,31.86663
KITTI_odometry,05,image_0,000042,sequences/05/image_0/000042.png,4.377982,-0.6341856,-0.765854,32.9025
KITTI_odometry,05,image_0,000043,sequences/05/image_0/000043.png,4.482232,-0.6562571,-0.7960953,33.94945
KITTI_odometry,05,image_0,000044,sequences/05/image_0/000044.png,4.586357,-0.6799668,-0.8250696,35.00439
KITTI_odometry,05,image_0,000045,sequences/05/image_0/000045.png,4.690605,-0.7046294,-0.852128,36.06726
KITTI_odometry,05,image_0,000046,sequences/05/image_0/000046.png,4.794755,-0.7318157,-0.8792448,37.12992
KITTI_odometry,05,image_0,000047,sequences/05/image_0/000047.png,4.898858,-0.7509456,-0.8999454,38.20156
KITTI_odometry,05,image_0,000048,sequences/05/image_0/000048.png,5.003109,-0.763742,-0.9173898,39.27699
KITTI_odometry,05,image_0,000049,sequences/05/image_0/000049.png,5.107234,-0.7861115,-0.9426008,40.35358
KITTI_odometry,05,image_0,000050,sequences/05/image_0/000050.png,5.211513,-0.8119808,-0.9707248,41.43101
KITTI_odometry,05,image_0,000051,sequences/05/image_0/000051.png,5.315611,-0.8405589,-0.9983507,42.50646
KITTI_odometry,05,image_0,000052,sequences/05/image_0/000052.png,5.419858,-0.8709114,-1.026979,43.58049
KITTI_odometry,05,image_0,000053,sequences/05/image_0/000053.png,5.523983,-0.9059963,-1.04797,44.64539
KITTI_odometry,05,image_0,000054,sequences/05/image_0/000054.png,5.628235,-0.9448054,-1.065232,45.70729
KITTI_odometry,05,image_0,000055,sequences/05/image_0/000055.png,5.73248,-0.9815092,-1.088166,46.77981
KITTI_odometry,05,image_0,000056,sequences/05/image_0/000056.png,5.836733,-1.015604,-1.110851,47.8582
KITTI_odometry,05,image_0,000057,sequences/05/image_0/000057.png,5.940858,-1.050114,-1.131381,48.93463
KITTI_odometry,05,image_0,000058,sequences/05/image_0/000058.png,6.045107,-1.079496,-1.149441,50.01065
KITTI_odometry,05,image_0,000059,sequences/05/image_0/000059.png,6.149354,-1.112505,-1.168837,51.08922
KITTI_odometry,05,image_0,000060,sequences/05/image_0/000060.png,6.253481,-1.142897,-1.184929,52.15954
KITTI_odometry,05,image_0,000061,sequences/05/image_0/000061.png,6.357731,-1.177502,-1.200275,53.23263
KITTI_odometry,05,image_0,000062,sequences/05/image_0/000062.png,6.461983,-1.210486,-1.22123,54.30647
KITTI_odometry,05,image_0,000063,sequences/05/image_0/000063.png,6.566109,-1.24879,-1.24431,55.37246
KITTI_odometry,05,image_0,000064,sequences/05/image_0/000064.png,6.670359,-1.282228,-1.272192,56.44378
KITTI_odometry,05,image_0,000065,sequences/05/image_0/000065.png,6.774485,-1.319412,-1.300079,57.51446
KITTI_odometry,05,image_0,000066,sequences/05/image_0/000066.png,6.878731,-1.352181,-1.322688,58.60062
KITTI_odometry,05,image_0,000067,sequences/05/image_0/000067.png,6.982859,-1.387176,-1.339024,59.6858
KITTI_odometry,05,image_0,000068,sequences/05/image_0/000068.png,7.086981,-1.418009,-1.354327,60.76851
KITTI_odometry,05,image_0,000069,sequences/05/image_0/000069.png,7.191236,-1.444555,-1.364859,61.84743
KITTI_odometry,05,image_0,000070,sequences/05/image_0/000070.png,7.295357,-1.469495,-1.377471,62.92513
KITTI_odometry,05,image_0,000071,sequences/05/image_0/000071.png,7.399507,-1.499917,-1.3958,64.00399
KITTI_odometry,05,image_0,000072,sequences/05/image_0/000072.png,7.503734,-1.528092,-1.415207,65.08527
KITTI_odometry,05,image_0,000073,sequences/05/image_0/000073.png,7.607858,-1.558768,-1.436238,66.16971
KITTI_odometry,05,image_0,000074,sequences/05/image_0/000074.png,7.712108,-1.593317,-1.460636,67.26138
KITTI_odometry,05,image_0,000075,sequences/05/image_0/000075.png,7.816232,-1.623511,-1.483749,68.34968
