sequence_length,split,method,source_file,source_sha256,candidate_window_positions,contiguous_windows,nonconsecutive_windows_skipped,ambiguous_windows_excluded,binary_windows,positive_windows,negative_windows,positive_prevalence,score_threshold,distance_threshold,roc_auc,pr_auc,average_precision,precision,recall,specificity,f1,accuracy,balanced_accuracy,matthews_correlation_coefficient
1,calibration,legacy_exact,results/pilot/kitti05_resnet/scores/calibration_scores.csv,49cc1a9eac8eac367cb2f4978814c68c8fbe69757b2a809f4e3f09a79be45f78,78624,78624,0,3572,75052,3985,71067,0.053096519746309224,-2.7038474082946777,2.7038474082946777,0.7901262612927569,0.4191422857013716,0.4191805894848989,0.5394223263075723,0.34680050188205774,0.9833959503004207,0.42217809683824653,0.9495949475030645,0.6650982260912393,0.40774809835069126
1,calibration,corrected_l2,results/pilot/kitti05_resnet/scores/calibration_scores.csv,49cc1a9eac8eac367cb2f4978814c68c8fbe69757b2a809f4e3f09a79be45f78,78624,78624,0,3572,75052,3985,71067,0.053096519746309224,-21.821827426452618,21.821827426452618,0.7853238145444561,0.5439486425340565,0.543971167269793,0.7307200681721346,0.43036386449184444,0.9911069835507338,0.5416929879974731,0.9613334754570164,0.7107354240212891,0.5429714706760633
1,test,legacy_exact,results/pilot/kitti05_resnet/scores/test_scores.csv,710304721dcd9479d7e60eb894d78bed3802b4c7ba8e824346a7ed1ab8ebda8c,14170,14170,0,1186,12984,1269,11715,0.09773567467652496,-2.7038474082946777,2.7038474082946777,0.730510243446014,0.4588570530683186,0.45897141665253427,0.6431924882629108,0.32387706855791965,0.9805377720870678,0.4308176100628931,0.916358595194085,0.6522074203224937,0.417899452700309
1,test,corrected_l2,results/pilot/kitti05_resnet/scores/test_scores.csv,710304721dcd9479d7e60eb894d78bed3802b4c7ba8e824346a7ed1ab8ebda8c,14170,14170,0,1186,12984,1269,11715,0.09773567467652496,-21.821827426452618,21.821827426452618,0.824498102592199,0.5938392561559989,0.5939180403879499,0.9104477611940298,0.33648542159180456,0.9964148527528809,0.49136939010356734,0.9319162045594578,0.6664501371723427,0.5298028159051474
1,stress,legacy_exact,results/pilot/kitti05_resnet/scores/stress_scores.csv,7c3fdc04d8753071ea3b9e0688d5673680649a996ef7d414080b1d7c672ba22d,9636,9636,0,1226,8410,1296,7114,0.15410225921521997,-2.7038474082946777,2.7038474082946777,0.592618677915569,0.35671051604374016,0.35688720623859116,0.5895691609977324,0.2006172839506173,0.9745572111329772,0.2993667242371906,0.8552913198573128,0.5875872475417973,0.28373250831373864
1,stress,corrected_l2,results/pilot/kitti05_resnet/scores/stress_scores.csv,7c3fdc04d8753071ea3b9e0688d5673680649a996ef7d414080b1d7c672ba22d,9636,9636,0,1226,8410,1296,7114,0.15410225921521997,-21.821827426452618,21.821827426452618,0.6081827217762229,0.3930666290459357,0.39321379481478214,0.6839622641509434,0.22376543209876543,0.9811639021647456,0.3372093023255814,0.8644470868014269,0.6024646671317555,0.33815512911975515
2,calibration,legacy_exact,results/pilot/kitti05_resnet/scores/calibration_scores.csv,49cc1a9eac8eac367cb2f4978814c68c8fbe69757b2a809f4e3f09a79be45f78,78351,78351,0,4055,74296,3712,70584,0.049962312910520085,-3.0224552154541016,3.0224552154541016,0.7926815238269541,0.4058599017540031,0.4059252459314966,0.48740127867619404,0.34913793103448276,0.9806896747138162,0.4068435096531157,0.9491358888769247,0.6649138028741495,0.3868265329582174
2,calibration,corrected_l2,results/pilot/kitti05_resnet/scores/calibration_scores.csv,49cc1a9eac8eac367cb2f4978814c68c8fbe69757b2a809f4e3f09a79be45f78,78351,78351,0,4055,74296,3712,70584,0.049962312910520085,-22.697730197241732,22.697730197241732,0.7818371122741502,0.5369491412875788,0.5369837361230825,0.7253553415864282,0.4261853448275862,0.9915136574861159,0.5369081961649415,0.963268547431894,0.708849501156851,0.5391131411612062
2,test,legacy_exact,results/pilot/kitti05_resnet/scores/test_scores.csv,710304721dcd9479d7e60eb894d78bed3802b4c7ba8e824346a7ed1ab8ebda8c,14061,14061,0,1375,12686,1160,11526,0.09143938199590099,-3.0224552154541016,3.0224552154541016,0.7219319738881209,0.43625164419429047,0.4364448318894423,0.5563093622795116,0.35344827586206895,0.9716293597084852,0.43226146547179756,0.9151032634400126,0.6625388177852771,0.40054920124370824
2,test,corrected_l2,results/pilot/kitti05_resnet/scores/test_scores.csv,710304721dcd9479d7e60eb894d78bed3802b4c7ba8e824346a7ed1ab8ebda8c,14061,14061,0,1375,12686,1160,11526,0.09143938199590099,-22.697730197241732,22.697730197241732,0.8247840713948076,0.5868999414346154,0.5870190652209294,0.9129411764705883,0.33448275862068966,0.9967898663890334,0.489589905362776,0.9362289137632035,0.6656363125048615,0.5306356695372834
