sequence_length,split,method,threshold,true_positive,false_positive,true_negative,false_negative
1,calibration,legacy_exact,-2.7038474082946777,1382,1180,69887,2603
1,calibration,corrected_l2,-21.821827426452618,1715,632,70435,2270
1,test,legacy_exact,-2.7038474082946777,411,228,11487,858
1,test,corrected_l2,-21.821827426452618,427,42,11673,842
1,stress,legacy_exact,-2.7038474082946777,260,181,6933,1036
1,stress,corrected_l2,-21.821827426452618,290,134,6980,1006
2,calibration,legacy_exact,-3.0224552154541016,1296,1363,69221,2416
2,calibration,corrected_l2,-22.697730197241732,1582,599,69985,2130
2,test,legacy_exact,-3.0224552154541016,410,327,11199,750
2,test,corrected_l2,-22.697730197241732,388,37,11489,772
2,stress,legacy_exact,-3.0224552154541016,271,217,6736,950
2,stress,corrected_l2,-22.697730197241732,269,122,6831,952
3,calibration,legacy_exact,-3.2061469554901123,1211,1331,68771,2228
3,calibration,corrected_l2,-23.165499370491236,1414,533,69569,2025
3,test,legacy_exact,-3.2061469554901123,370,345,10993,681
3,test,corrected_l2,-23.165499370491236,337,37,11301,714
3,stress,legacy_exact,-3.2061469554901123,268,220,6573,878
3,stress,corrected_l2,-23.165499370491236,240,101,6692,906
5,calibration,legacy_exact,-3.4387362003326416,971,1076,68065,1922
5,calibration,corrected_l2,-24.49470554301247,1157,678,68463,1736
5,test,legacy_exact,-3.4387362003326416,269,353,10613,565
5,test,corrected_l2,-24.49470554301247,250,51,10915,584
5,stress,legacy_exact,-3.4387362003326416,218,165,6310,780
5,stress,corrected_l2,-24.49470554301247,206,94,6381,792
