sequence_length,split,source_pair_rows,source_query_count,candidate_window_positions,contiguous_windows,nonconsecutive_windows_skipped,ambiguous_windows_excluded,binary_windows,positive_windows,negative_windows,query_count_with_contiguous_windows
1,calibration,78624,273,78624,78624,0,3572,75052,3985,71067,273
1,test,14170,109,14170,14170,0,1186,12984,1269,11715,109
1,stress,9636,66,9636,9636,0,1226,8410,1296,7114,66
2,calibration,78624,273,78351,78351,0,4055,74296,3712,70584,273
2,test,14170,109,14061,14061,0,1375,12686,1160,11526,109
2,stress,9636,66,9570,9504,66,1330,8174,1221,6953,66
3,calibration,78624,273,78078,78078,0,4537,73541,3439,70102,273
3,test,14170,109,13952,13952,0,1563,12389,1051,11338,109
3,stress,9636,66,9504,9372,132,1433,7939,1146,6793,66
5,calibration,78624,273,77532,77532,0,5498,72034,2893,69141,273
5,test,14170,109,13734,13734,0,1934,11800,834,10966,109
5,stress,9636,66,9372,9108,264,1635,7473,998,6475,66
