dataset,sequence,camera,split,pair_id,query_frame,reference_frame,query_image_path,reference_image_path,temporal_separation_frames,spatial_distance_m,heading_difference_deg,traversal_class,pair_class,binary_label
KITTI_odometry,05,image_0,calibration,05_001292_000526,1292,526,sequences/05/image_0/001292.png,sequences/05/image_0/000526.png,766,6.618603993,132.459736751,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000527,1292,527,sequences/05/image_0/001292.png,sequences/05/image_0/000527.png,765,6.254420549,129.460200256,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000528,1292,528,sequences/05/image_0/001292.png,sequences/05/image_0/000528.png,764,5.909444130,126.345429119,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000529,1292,529,sequences/05/image_0/001292.png,sequences/05/image_0/000529.png,763,5.617569155,123.241704582,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000530,1292,530,sequences/05/image_0/001292.png,sequences/05/image_0/000530.png,762,5.331890682,120.046416855,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000531,1292,531,sequences/05/image_0/001292.png,sequences/05/image_0/000531.png,761,5.114363094,116.756808544,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000532,1292,532,sequences/05/image_0/001292.png,sequences/05/image_0/000532.png,760,4.904549125,113.462947774,oblique,positive,1
KITTI_odometry,05,image_0,calibration,05_001292_000533,1292,533,sequences/05/image_0/001292.png,sequences/05/image_0/000533.png,759,4.735816551,110.156126149,oblique,positive,1
KITTI_odometry,05,image_0,calibration,05_001292_000534,1292,534,sequences/05/image_0/001292.png,sequences/05/image_0/000534.png,758,4.651633077,106.781828301,oblique,positive,1
KITTI_odometry,05,image_0,calibration,05_001292_000535,1292,535,sequences/05/image_0/001292.png,sequences/05/image_0/000535.png,757,4.575609557,103.395131470,oblique,positive,1
KITTI_odometry,05,image_0,calibration,05_001292_000536,1292,536,sequences/05/image_0/001292.png,sequences/05/image_0/000536.png,756,4.598578977,100.035979947,oblique,positive,1
KITTI_odometry,05,image_0,calibration,05_001292_000537,1292,537,sequences/05/image_0/001292.png,sequences/05/image_0/000537.png,755,4.635794130,96.708848640,oblique,positive,1
KITTI_odometry,05,image_0,calibration,05_001292_000538,1292,538,sequences/05/image_0/001292.png,sequences/05/image_0/000538.png,754,4.720376987,93.365878641,oblique,positive,1
KITTI_odometry,05,image_0,calibration,05_001292_000539,1292,539,sequences/05/image_0/001292.png,sequences/05/image_0/000539.png,753,4.893257984,90.080073566,oblique,positive,1
KITTI_odometry,05,image_0,calibration,05_001292_000540,1292,540,sequences/05/image_0/001292.png,sequences/05/image_0/000540.png,752,5.075438712,86.865649607,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000541,1292,541,sequences/05/image_0/001292.png,sequences/05/image_0/000541.png,751,5.329947039,83.663160808,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000542,1292,542,sequences/05/image_0/001292.png,sequences/05/image_0/000542.png,750,5.573447677,80.507441928,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000543,1292,543,sequences/05/image_0/001292.png,sequences/05/image_0/000543.png,749,5.872631412,77.498628876,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000544,1292,544,sequences/05/image_0/001292.png,sequences/05/image_0/000544.png,748,6.165672003,74.686317095,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000545,1292,545,sequences/05/image_0/001292.png,sequences/05/image_0/000545.png,747,6.480217685,72.124667539,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000546,1292,546,sequences/05/image_0/001292.png,sequences/05/image_0/000546.png,746,6.828268141,69.814889356,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000547,1292,547,sequences/05/image_0/001292.png,sequences/05/image_0/000547.png,745,7.166259109,67.786848251,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000548,1292,548,sequences/05/image_0/001292.png,sequences/05/image_0/000548.png,744,7.526505995,65.969603474,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000549,1292,549,sequences/05/image_0/001292.png,sequences/05/image_0/000549.png,743,7.897965674,64.521404129,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000550,1292,550,sequences/05/image_0/001292.png,sequences/05/image_0/000550.png,742,8.295398339,63.174331187,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000551,1292,551,sequences/05/image_0/001292.png,sequences/05/image_0/000551.png,741,8.704096969,62.025551194,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000552,1292,552,sequences/05/image_0/001292.png,sequences/05/image_0/000552.png,740,9.131219698,61.164355027,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000553,1292,553,sequences/05/image_0/001292.png,sequences/05/image_0/000553.png,739,9.566918635,60.345982621,oblique,ambiguous,
KITTI_odometry,05,image_0,calibration,05_001292_000554,1292,554,sequences/05/image_0/001292.png,sequences/05/image_0/000554.png,738,10.017280362,59.407603983,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000555,1292,555,sequences/05/image_0/001292.png,sequences/05/image_0/000555.png,737,10.488242458,58.444041504,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000556,1292,556,sequences/05/image_0/001292.png,sequences/05/image_0/000556.png,736,10.981196198,57.377016273,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000557,1292,557,sequences/05/image_0/001292.png,sequences/05/image_0/000557.png,735,11.503224419,56.422143949,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000558,1292,558,sequences/05/image_0/001292.png,sequences/05/image_0/000558.png,734,12.047838486,55.574296434,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000559,1292,559,sequences/05/image_0/001292.png,sequences/05/image_0/000559.png,733,12.612321893,54.762354983,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000560,1292,560,sequences/05/image_0/001292.png,sequences/05/image_0/000560.png,732,13.193216921,54.080120929,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000561,1292,561,sequences/05/image_0/001292.png,sequences/05/image_0/000561.png,731,13.791990489,53.605434813,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000562,1292,562,sequences/05/image_0/001292.png,sequences/05/image_0/000562.png,730,14.410358117,53.319755004,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000563,1292,563,sequences/05/image_0/001292.png,sequences/05/image_0/000563.png,729,15.048158564,53.116244028,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000564,1292,564,sequences/05/image_0/001292.png,sequences/05/image_0/000564.png,728,15.701725618,52.974427918,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000565,1292,565,sequences/05/image_0/001292.png,sequences/05/image_0/000565.png,727,16.378276002,52.918666282,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000566,1292,566,sequences/05/image_0/001292.png,sequences/05/image_0/000566.png,726,17.070465973,53.008466924,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000567,1292,567,sequences/05/image_0/001292.png,sequences/05/image_0/000567.png,725,17.780340143,53.342731404,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000568,1292,568,sequences/05/image_0/001292.png,sequences/05/image_0/000568.png,724,18.508154541,53.829271657,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000569,1292,569,sequences/05/image_0/001292.png,sequences/05/image_0/000569.png,723,19.252678653,54.374014084,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000570,1292,570,sequences/05/image_0/001292.png,sequences/05/image_0/000570.png,722,20.014921362,54.938228766,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000571,1292,571,sequences/05/image_0/001292.png,sequences/05/image_0/000571.png,721,20.794679234,55.513350899,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000572,1292,572,sequences/05/image_0/001292.png,sequences/05/image_0/000572.png,720,21.589433868,56.085488117,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000573,1292,573,sequences/05/image_0/001292.png,sequences/05/image_0/000573.png,719,22.398903256,56.709216806,oblique,negative,0
KITTI_odometry,05,image_0,calibration,05_001292_000574,1292,574,sequences/05/image_0/001292.png,sequences/05/image_0/000574.png,718,23.225129021,57.327369928,oblique,negative,0
