dataset,sequence,camera,split,pair_id,query_frame,reference_frame,query_image_path,reference_image_path,temporal_separation_frames,spatial_distance_m,heading_difference_deg,traversal_class,pair_class,binary_label
KITTI_odometry,05,image_0,stress,05_002571_000792,2571,792,sequences/05/image_0/002571.png,sequences/05/image_0/000792.png,1779,6.162846797,70.184792978,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000793,2571,793,sequences/05/image_0/002571.png,sequences/05/image_0/000793.png,1778,6.027191359,68.761325698,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000794,2571,794,sequences/05/image_0/002571.png,sequences/05/image_0/000794.png,1777,5.918919828,67.112593388,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000795,2571,795,sequences/05/image_0/002571.png,sequences/05/image_0/000795.png,1776,5.852301127,65.479525613,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000796,2571,796,sequences/05/image_0/002571.png,sequences/05/image_0/000796.png,1775,5.813096886,63.669997580,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000797,2571,797,sequences/05/image_0/002571.png,sequences/05/image_0/000797.png,1774,5.801091887,61.806480615,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000798,2571,798,sequences/05/image_0/002571.png,sequences/05/image_0/000798.png,1773,5.830895912,59.894492415,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000799,2571,799,sequences/05/image_0/002571.png,sequences/05/image_0/000799.png,1772,5.896072444,57.871093938,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000800,2571,800,sequences/05/image_0/002571.png,sequences/05/image_0/000800.png,1771,5.974209005,55.749761629,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000801,2571,801,sequences/05/image_0/002571.png,sequences/05/image_0/000801.png,1770,6.094701283,53.558023382,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000802,2571,802,sequences/05/image_0/002571.png,sequences/05/image_0/000802.png,1769,6.223041701,51.291042331,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000803,2571,803,sequences/05/image_0/002571.png,sequences/05/image_0/000803.png,1768,6.395296863,48.936879047,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000804,2571,804,sequences/05/image_0/002571.png,sequences/05/image_0/000804.png,1767,6.585224034,46.565008518,oblique,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000805,2571,805,sequences/05/image_0/002571.png,sequences/05/image_0/000805.png,1766,6.829198932,44.126957471,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000806,2571,806,sequences/05/image_0/002571.png,sequences/05/image_0/000806.png,1765,7.103759539,41.646166413,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000807,2571,807,sequences/05/image_0/002571.png,sequences/05/image_0/000807.png,1764,7.381149726,39.114162128,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000808,2571,808,sequences/05/image_0/002571.png,sequences/05/image_0/000808.png,1763,7.696932741,36.559827472,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000809,2571,809,sequences/05/image_0/002571.png,sequences/05/image_0/000809.png,1762,8.020644009,33.992349553,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000810,2571,810,sequences/05/image_0/002571.png,sequences/05/image_0/000810.png,1761,8.385374078,31.419140926,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000811,2571,811,sequences/05/image_0/002571.png,sequences/05/image_0/000811.png,1760,8.753627053,28.878056621,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000812,2571,812,sequences/05/image_0/002571.png,sequences/05/image_0/000812.png,1759,9.158290655,26.430033807,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000813,2571,813,sequences/05/image_0/002571.png,sequences/05/image_0/000813.png,1758,9.575675659,23.955779901,same_direction,ambiguous,
KITTI_odometry,05,image_0,stress,05_002571_000814,2571,814,sequences/05/image_0/002571.png,sequences/05/image_0/000814.png,1757,10.028268433,21.540518111,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000815,2571,815,sequences/05/image_0/002571.png,sequences/05/image_0/000815.png,1756,10.509324662,19.129532316,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000816,2571,816,sequences/05/image_0/002571.png,sequences/05/image_0/000816.png,1755,11.010769365,16.608127424,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000817,2571,817,sequences/05/image_0/002571.png,sequences/05/image_0/000817.png,1754,11.528949846,14.141441965,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000818,2571,818,sequences/05/image_0/002571.png,sequences/05/image_0/000818.png,1753,12.052264517,11.738153394,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000819,2571,819,sequences/05/image_0/002571.png,sequences/05/image_0/000819.png,1752,12.613181640,9.448270446,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000820,2571,820,sequences/05/image_0/002571.png,sequences/05/image_0/000820.png,1751,13.187322472,7.357798366,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000821,2571,821,sequences/05/image_0/002571.png,sequences/05/image_0/000821.png,1750,13.770237113,5.441163307,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000822,2571,822,sequences/05/image_0/002571.png,sequences/05/image_0/000822.png,1749,14.380339601,3.794143124,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000823,2571,823,sequences/05/image_0/002571.png,sequences/05/image_0/000823.png,1748,14.997103367,2.390800470,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000824,2571,824,sequences/05/image_0/002571.png,sequences/05/image_0/000824.png,1747,15.636794732,1.353481383,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000825,2571,825,sequences/05/image_0/002571.png,sequences/05/image_0/000825.png,1746,16.288718065,0.601102271,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000826,2571,826,sequences/05/image_0/002571.png,sequences/05/image_0/000826.png,1745,16.955111571,0.073171546,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000827,2571,827,sequences/05/image_0/002571.png,sequences/05/image_0/000827.png,1744,17.640440610,0.592067100,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000828,2571,828,sequences/05/image_0/002571.png,sequences/05/image_0/000828.png,1743,18.340884193,0.929697688,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000829,2571,829,sequences/05/image_0/002571.png,sequences/05/image_0/000829.png,1742,19.056271004,1.118718206,same_direction,negative,0
KITTI_odometry,05,image_0,stress,05_002571_000830,2571,830,sequences/05/image_0/002571.png,sequences/05/image_0/000830.png,1741,19.782501434,1.155481695,same_direction,negative,0
