dataset,sequence,coordinate_axes,frame_count,spatial_radius_m,temporal_exclusion_frames,candidate_pairs,positive_pairs,positive_prevalence,query_frames_with_positive
KITTI_odometry,05,"x,z",2761,2.0,30,3730546,4214,0.0011295933624729463,475
KITTI_odometry,05,"x,z",2761,5.0,30,3730546,9764,0.002617311246128583,524
KITTI_odometry,05,"x,z",2761,10.0,30,3730546,21624,0.005796470543453961,614
KITTI_odometry,05,"x,z",2761,2.0,50,3676116,3144,0.0008552504871989894,455
KITTI_odometry,05,"x,z",2761,5.0,50,3676116,8334,0.0022670666540446495,504
KITTI_odometry,05,"x,z",2761,10.0,50,3676116,19603,0.00533253031188352,581
KITTI_odometry,05,"x,z",2761,2.0,100,3541791,2230,0.0006296249552839228,412
KITTI_odometry,05,"x,z",2761,5.0,100,3541791,6550,0.001849346841753226,448
KITTI_odometry,05,"x,z",2761,10.0,100,3541791,16778,0.004737151345181012,581
KITTI_odometry,05,"x,z",2761,2.0,200,3280641,2230,0.0006797452083297137,412
KITTI_odometry,05,"x,z",2761,5.0,200,3280641,6550,0.001996561037919114,448
KITTI_odometry,05,"x,z",2761,10.0,200,3280641,16512,0.005033162726430597,581
