split,event_id,dataset,sequence,spatial_radius_m,temporal_exclusion_frames,query_frame,reference_frame,spatial_distance_m,query_heading_deg,reference_heading_deg,heading_difference_deg,traversal_class
calibration,1,KITTI_odometry,05,5.0,100,1292,532,4.9045491250470725,215.37831635321965,328.8412641276212,113.46294777440153,oblique
calibration,1,KITTI_odometry,05,5.0,100,1292,533,4.735816550501107,215.37831635321965,325.5344425023367,110.15612614911703,oblique
calibration,1,KITTI_odometry,05,5.0,100,1292,534,4.651633076673196,215.37831635321965,322.1601446540785,106.78182830085888,oblique
calibration,1,KITTI_odometry,05,5.0,100,1292,535,4.575609557206573,215.37831635321965,318.77344782273946,103.39513146951981,oblique
calibration,1,KITTI_odometry,05,5.0,100,1292,536,4.59857897724939,215.37831635321965,315.4142963006465,100.03597994742688,oblique
calibration,1,KITTI_odometry,05,5.0,100,1292,537,4.635794130459211,215.37831635321965,312.08716499370746,96.70884864048782,oblique
calibration,1,KITTI_odometry,05,5.0,100,1292,538,4.72037698706367,215.37831635321965,308.7441949945224,93.36587864130274,oblique
calibration,1,KITTI_odometry,05,5.0,100,1292,539,4.8932579842064605,215.37831635321965,305.45838991965076,90.08007356643111,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,530,4.915192627964856,218.08756671193282,335.42473320825013,117.33716649631731,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,531,4.684854851540227,218.08756671193282,332.13512489761126,114.04755818567844,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,532,4.463392790243765,218.08756671193282,328.8412641276212,110.75369741568835,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,533,4.284024224954873,218.08756671193282,325.5344425023367,107.44687579040385,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,534,4.190755273217484,218.08756671193282,322.1601446540785,104.0725779421457,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,535,4.108865889755972,218.08756671193282,318.77344782273946,100.68588111080663,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,536,4.129231082174991,218.08756671193282,315.4142963006465,97.3267295887137,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,537,4.167396753370152,218.08756671193282,312.08716499370746,93.99959828177464,oblique
calibration,1,KITTI_odometry,05,5.0,100,1293,538,4.256023724088045,218.08756671193282,308.7441949945224,90.65662828258957,oblique
